YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
1950	-1.022	-1.146	-1.289	-1.058	-1.42	-1.366	-1.33	-1.065	-.581	-.395	-1.152	-1.247
1951	-1.068	-1.196	-1.209	-.437	-.275	.464	.739	.853	.774	.751	.727	.467
1952	.406	.133	.088	.262	-.267	-.638	-.245	-.16	.362	.31	-.34	-.125
1953	.024	.38	.267	.712	.84	.246	.416	.253	.521	.093	.048	.313
1954	-.051	-.019	.175	-.506	-1.425	-1.589	-1.397	-1.468	-1.156	-1.372	-1.145	-1.106
1955	-.771	-.695	-1.133	-1.557	-1.631	-2.287	-1.932	-2.043	-1.825	-1.745	-1.827	-1.862
1956	-1.436	-1.3	-1.396	-1.156	-1.302	-1.508	-1.207	-1.143	-1.364	-1.462	-1.036	-1.014
1957	-.948	-.352	.152	.352	.908	.773	.937	1.122	1.183	1.098	1.132	1.231
1958	1.473	1.448	1.315	1.025	.743	.896	.708	.433	.176	.208	.49	.707
1959	.575	.803	.503	.217	.016	.022	-.2	.072	.054	-.08	-.184	-.265
1960	-.311	-.261	-.08	.019	-.325	-.242	-.349	-.252	-.474	-.364	-.339	-.433
1961	-.151	-.266	-.081	.018	-.284	-.083	-.178	-.248	-.263	-.518	-.44	-.644
1962	-1.093	-.993	-.716	-1.023	-.92	-.857	-.712	-.55	-.549	-.656	-.595	-.478
1963	-.702	-.843	-.701	-.816	-.469	-.044	.438	.628	.762	.83	.856	.748
1964	.857	.451	-.293	-.617	-1.273	-1.097	-1.406	-1.503	-1.287	-1.206	-1.195	-.905
1965	-.525	-.323	-.25	.104	.535	.956	1.395	1.483	1.404	1.22	1.369	1.257
1966	1.31	1.193	.697	.556	-.135	-.128	-.149	.164	-.088	-.014	.025	-.182
1967	-.473	-.937	-1.079	-1.067	-.478	-.354	-.63	-.431	-.633	-.681	-.424	-.368
1968	-.595	-.706	-.618	-.973	-1.095	-.731	-.55	-.128	.235	.424	.6	.359
1969	.689	.868	.447	.617	.706	.798	.421	.145	.157	.506	.646	.38
1970	.359	.406	.215	-.055	-.133	-.736	-1.14	-1.043	-1.246	-1.102	-1.095	-1.25
1971	-1.225	-1.521	-1.812	-1.897	-1.461	-1.5	-1.225	-1.234	-1.463	-1.421	-1.306	-1.006
1972	-.593	-.408	-.255	-.206	.487	1.193	1.886	1.823	1.506	1.623	1.724	1.747
1973	1.707	1.484	.844	.482	-.124	-.819	-1.068	-1.368	-1.747	-1.694	-1.524	-1.873
1974	-1.942	-1.794	-1.767	-1.684	-1.081	-.647	-.727	-.633	-.613	-1.049	-1.255	-.929
1975	-.565	-.604	-.88	-.967	-.853	-1.149	-1.478	-1.734	-1.874	-1.999	-1.794	-1.758
1976	-1.624	-1.396	-1.253	-1.191	-.481	.342	.613	.66	1.027	.952	.482	.556
1977	.518	.254	.093	.531	.342	.503	.868	.703	.816	1.007	.973	.877
1978	.779	.895	.953	.18	-.396	-.563	-.412	-.186	-.386	-.019	.198	.398
1979	.595	.363	-.01	.29	.397	.387	.358	.642	.768	.637	.733	1.014
1980	.695	.592	.668	.872	.918	.851	.787	.34	.279	.206	.236	.118
1981	-.245	-.164	.443	.637	.12	-.018	-.034	-.073	.184	.089	-.054	-.153
1982	-.282	-.148	.085	-.041	.407	.951	1.62	1.825	1.794	2.024	2.454	2.413
1983	2.688	2.903	3.037	2.876	2.556	2.174	1.741	1.13	.428	.002	-.176	-.176
1984	-.339	-.564	.132	.331	.124	-.127	-.138	-.179	-.082	.016	-.351	-.612
1985	-.562	-.601	-.732	-.484	-.73	-.094	-.156	-.392	-.541	-.14	-.05	-.293
1986	-.307	-.195	.028	-.169	.305	.311	.384	.804	1.166	.996	.872	1.183
1987	1.237	1.187	1.722	1.865	2.122	1.91	1.847	1.951	1.835	1.61	1.253	1.251
1988	1.091	.668	.46	.307	.088	-.697	-1.174	-1.374	-1.586	-1.35	-1.468	-1.343
1989	-1.167	-1.308	-1.056	-.842	-.487	-.266	-.454	-.501	-.28	-.318	-.066	.142
1990	.233	.536	.919	.393	.595	.408	.084	.123	.376	.241	.372	.334
1991	.309	.309	.392	.444	.719	1.154	1.011	1.012	.737	1.017	1.202	1.32
1992	1.75	1.87	1.992	2.271	2.13	1.722	.946	.536	.512	.669	.602	.644
1993	.699	.997	.978	1.388	1.987	1.478	1.09	1.003	.982	1.059	.822	.561
1994	.337	.192	.158	.423	.522	.747	.823	.743	.88	1.433	1.278	1.183
1995	1.199	.959	.858	.419	.495	.463	.182	-.197	-.468	-.487	-.495	-.559
1996	-.644	-.595	-.266	-.505	-.174	.011	-.208	-.396	-.499	-.387	-.161	-.338
1997	-.487	-.607	-.253	.493	1.119	2.307	2.756	3.001	3	2.358	2.518	2.32
1998	2.482	2.777	2.752	2.673	2.171	1.151	.285	-.41	-.667	-.849	-1.17	-1.012
1999	-1.151	-1.233	-1.061	-1.022	-.678	-.412	-.465	-.787	-1.004	-1.011	-1.079	-1.208
2000	-1.198	-1.242	-1.134	-.521	.161	-.129	-.201	-.14	-.247	-.381	-.755	-.581
2001	-.54	-.713	-.603	-.145	.188	-.056	.253	.367	-.126	-.276	-.18	.003
2002	-.05	-.208	-.196	.339	.78	.864	.596	.922	.808	.952	1.059	1.109
2003	1.184	.927	.819	.308	.05	.033	.089	.241	.441	.509	.519	.314
2004	.308	.329	-.123	.216	.472	.19	.472	.669	.524	.467	.786	.643
2005	.301	.799	1.018	.559	.758	.499	.492	.321	.255	-.166	-.407	-.586
2006	-.472	-.45	-.588	-.687	-.034	.564	.628	.759	.793	.892	1.292	.95
2007	.973	.515	.076	-.049	.187	-.331	-.29	-.44	-1.162	-1.142	-1.177	-1.168
2008	-1.012	-1.398	-1.631	-.942	-.353	.136	.003	-.266	-.643	-.78	-.621	-.667
2009	-.753	-.715	-.713	-.159	.37	.943	.938	.944	.764	1.02	1.062	1.007
2010	1.152	1.52	1.39	.863	.577	-.433	-1.166	-1.822	-2.03	-1.946	-1.602	-1.58
2011	-1.678	-1.56	-1.559	-1.492	-.322	-.169	-.087	-.472	-.764	-.965	-.978	-.979
2012	-1.046	-.702	-.41	.059	.706	.903	1.139	.579	.271	.103	.166  NA
